login_id,user_id,login_date,messages_sent,replies
94302,1476,2022-3-25,1,0
35082,1991,2022-1-3,3,0
19863,1350,2022-6-4,3,3
48037,1283,2022-3-14,4,2
41790,1993,2022-5-20,5,2
81685,1657,2022-1-8,2,0
72000,1821,2022-4-26,3,1
48323,1083,2022-1-8,1,0
46243,1330,2022-5-13,3,2
65912,1919,2022-1-9,5,3
08193,1790,2022-5-19,3,2
38498,1477,2022-5-14,1,0
62817,1836,2022-6-14,3,3
71613,1092,2022-6-1,4,2
90649,1657,2022-6-26,5,1
34649,1306,2022-4-16,2,0
07326,1775,2022-6-1,1,1
88627,1381,2022-6-16,5,5
34023,1061,2022-2-19,2,2
80095,1924,2022-1-27,5,1
23677,1400,2022-2-2,4,0
09128,1069,2022-2-26,4,0
75855,1167,2022-1-10,4,3
46595,1034,2022-2-7,3,3
99786,1003,2022-3-2,1,0
36728,1456,2022-2-28,1,1
05805,1046,2022-2-6,4,4
50203,1914,2022-5-15,5,4
33765,1571,2022-3-10,3,0
41797,1538,2022-1-26,5,5
64039,1946,2022-4-18,5,2
55611,1067,2022-6-17,4,1
12832,1903,2022-5-4,3,3
87713,1166,2022-6-9,5,1
82447,1602,2022-6-9,1,1
21158,1104,2022-2-22,4,1
43833,1106,2022-2-28,2,1
72600,1315,2022-1-24,4,0
58394,1821,2022-5-9,1,1
32166,1794,2022-3-2,1,0
14833,1118,2022-1-1,3,1
61638,1193,2022-2-20,3,2
66448,1195,2022-2-3,1,1
39739,1617,2022-2-20,5,1
14201,1276,2022-6-3,2,1
55826,1466,2022-4-20,2,1
49823,1793,2022-5-22,5,5
88404,1033,2022-2-8,4,3
11149,1834,2022-1-16,2,0
01131,1147,2022-5-15,3,0
18294,1667,2022-2-5,2,2
13643,1605,2022-5-3,3,1
39951,1654,2022-4-26,3,1
99482,1400,2022-4-23,2,1
49186,1046,2022-1-24,1,1
43743,1025,2022-2-8,2,2
96240,1064,2022-3-17,4,2
95644,1936,2022-4-25,3,1
