listen_id,user_id,listen_time
GB45FWJG44006503379431,1949,2022-11-9 15:00:00
GB28AXXW47034039050999,1800,2022-11-7 5:00:00
GB86CXZU42872703253784,1489,2022-11-12 20:00:00
GB42GVRD37816832844290,1032,2022-11-12 17:00:00
GB23VLZT43009394633630,1798,2022-11-10 9:00:00
GB70CSAH62016835591405,1157,2022-11-10 11:00:00
GB97PTNS38306158059858,1185,2022-11-13 14:00:00
GB08XIUR59473941601637,1012,2022-11-10 18:00:00
GB56YILL09093973729428,1709,2022-11-13 21:00:00
GB42NHBD05682249716885,1841,2022-11-11 7:00:00
GB21PYMU62562801701511,1655,2022-11-10 13:00:00
GB80GEHP80185981310782,1693,2022-11-8 4:00:00
GB60GUEX29905262027700,1482,2022-11-12 18:00:00
GB18RLWV75005878155415,1284,2022-11-13 11:00:00
GB08SYZB04446605549448,1561,2022-11-10 16:00:00
GB30JMEE32344303959260,1586,2022-11-9 10:00:00
GB26BWVP04309562127807,1713,2022-11-12 17:00:00
GB46HOFY57115362325956,1129,2022-11-10 17:00:00
GB35SRSB00482280858858,1092,2022-11-11 9:00:00
GB47IALM22870833453892,1396,2022-11-11 5:00:00
GB75VZFR01081537594635,1469,2022-11-8 7:00:00
GB23YFIO69531656648233,1596,2022-11-9 6:00:00
GB09DCRZ89332566877239,1891,2022-11-11 5:00:00
GB34WFMZ39061451754658,1993,2022-11-8 11:00:00
GB17IJES43212830251468,1342,2022-11-7 7:00:00
GB10GAVT94285833368250,1262,2022-11-11 4:00:00
GB05RXBB74537212382412,1090,2022-11-12 14:00:00
GB07HCIU37977652465147,1978,2022-11-11 17:00:00
GB70HXFR72924967067976,1311,2022-11-7 18:00:00
GB94RMBJ64505704542426,1990,2022-11-11 19:00:00
GB70RJMX92473442227490,1499,2022-11-11 10:00:00
GB43LCJC09643418737731,1740,2022-11-9 11:00:00
GB50HFAN72151985493956,1296,2022-11-12 8:00:00
GB62AQST48062811819892,1004,2022-11-7 8:00:00
GB35GMSV51141548542573,1555,2022-11-8 19:00:00
GB92OUKH51197001915194,1411,2022-11-7 5:00:00
GB05ZODD75654239135142,1601,2022-11-12 7:00:00
GB80BZLA21763352425827,1189,2022-11-9 14:00:00
GB53LIMI30143571561122,1170,2022-11-13 4:00:00
GB96RIEB96658417734245,1669,2022-11-7 16:00:00
GB10UQNN27398037095842,1127,2022-11-7 17:00:00
GB40QOKG51105856441199,1324,2022-11-9 20:00:00
GB38GTGH65804989196087,1172,2022-11-10 8:00:00
GB58RTON71774306369053,1396,2022-11-12 12:00:00
GB31SRXI19271683860188,1916,2022-11-11 19:00:00
GB30KFVF00054070153894,1406,2022-11-7 11:00:00
GB74VTSP89166641948430,1916,2022-11-7 9:00:00
GB59NCOB95644750282004,1900,2022-11-12 4:00:00
GB37XTVR76187967934942,1524,2022-11-10 18:00:00
GB13CKXQ47721149653957,1647,2022-11-8 4:00:00
GB95PBXX81167820324964,1905,2022-11-9 12:00:00
GB29WLOB36388029241397,1497,2022-11-13 13:00:00
GB92KKIA22137842761369,1595,2022-11-10 6:00:00
GB14XMJC18014285680310,1186,2022-11-11 13:00:00
GB02BMOF86007885781999,1359,2022-11-10 21:00:00
GB23IRSW41752112450126,1918,2022-11-7 5:00:00
GB28RLHR77229713672551,1679,2022-11-11 21:00:00
GB25VCZE62747007737161,1736,2022-11-8 18:00:00
GB84AZZA77235770883853,1070,2022-11-11 13:00:00
GB30ISKR76404171411340,1269,2022-11-9 17:00:00
GB60QFYY90691309750679,1205,2022-11-8 5:00:00
GB10SLMW54730812907907,1186,2022-11-13 17:00:00
GB11IEAV01071775607361,1448,2022-11-10 11:00:00
GB62RLIL38200324810570,1460,2022-11-11 8:00:00
GB44WIHK97013070447630,1074,2022-11-11 10:00:00
GB25MKGG06434457191905,1867,2022-11-13 14:00:00
GB54YRWC54937131107206,1728,2022-11-9 7:00:00
GB20CBWV12869401100755,1480,2022-11-8 17:00:00
GB89SLNA51758535937643,1082,2022-11-7 14:00:00
GB87NSWQ33973455695376,1241,2022-11-8 13:00:00
GB78PZLM91060397531565,1926,2022-11-8 7:00:00
GB57XGTI20571941975189,1497,2022-11-12 12:00:00
GB87ISAZ36188411113256,1291,2022-11-11 4:00:00
GB26FKKC04459331240410,1634,2022-11-13 18:00:00
GB61LKYE81334061858613,1000,2022-11-10 18:00:00
GB24VARV25671080577037,1535,2022-11-13 7:00:00
GB07HNUD36352341124937,1179,2022-11-8 12:00:00
GB33DXKT48046515798340,1152,2022-11-7 10:00:00
GB68EFNN25863356176024,1183,2022-11-11 21:00:00
GB50YTVM81993962248363,1249,2022-11-12 9:00:00
GB84PBUI46306271073180,1690,2022-11-7 8:00:00
GB56BTYB65301353126202,1502,2022-11-7 20:00:00
GB19LZFK97749833198654,1289,2022-11-10 11:00:00
GB51ISFE79544358445652,1811,2022-11-9 12:00:00
GB04WUBH71410922893731,1926,2022-11-13 17:00:00
GB12FOSE62794752329380,1209,2022-11-13 16:00:00
GB91ESAI19176839719641,1976,2022-11-11 5:00:00
GB63CWHR49651455018580,1084,2022-11-12 5:00:00
GB74YOLX66608319729694,1825,2022-11-9 10:00:00
GB67UYHX41254920072458,1571,2022-11-7 10:00:00
GB07YSWP68711545137418,1240,2022-11-9 8:00:00
GB03MRIO40879907741919,1465,2022-11-7 10:00:00
GB33AXXN69649688703463,1374,2022-11-7 10:00:00
GB97EPPL15217124472982,1953,2022-11-11 5:00:00
GB03XQST56524864965666,1028,2022-11-12 20:00:00
GB58MJTB70813852138985,1604,2022-11-10 8:00:00
GB69INMT29426054021503,1643,2022-11-8 16:00:00
GB62LTHH76973137437073,1773,2022-11-13 17:00:00
GB12XXOV48514607803437,1363,2022-11-10 14:00:00
GB60BIIG56892768919450,1453,2022-11-9 15:00:00
GB35IGZR62076217187937,1039,2022-11-12 20:00:00
GB78EYPP08584781173754,1188,2022-11-10 19:00:00
GB10XGPR66598296369979,1302,2022-11-13 21:00:00
GB50TFGJ52216615508199,1499,2022-11-12 20:00:00
GB65OBSY66457079070175,1416,2022-11-7 12:00:00
GB79KMQR86610075405077,1692,2022-11-13 8:00:00
GB07FJYP91413033968261,1203,2022-11-10 7:00:00
GB12JXGQ01597861728341,1986,2022-11-10 12:00:00
GB32MNPD84891275751605,1471,2022-11-10 8:00:00
GB65MQKU38322811761401,1583,2022-11-10 9:00:00
GB45BYWP93799710829231,1169,2022-11-8 21:00:00
GB39DJWW04065043058989,1381,2022-11-12 10:00:00
GB34DUNX46149357904785,1200,2022-11-8 8:00:00
GB46VACU89758273643370,1800,2022-11-10 19:00:00
GB13HIMB52845991492344,1237,2022-11-8 12:00:00
GB71JUKE06722240695775,1311,2022-11-8 9:00:00
GB79YJCG21228785127555,1976,2022-11-10 5:00:00
GB45FGCZ72078604631145,1956,2022-11-9 7:00:00
GB91XCDM21035035608621,1317,2022-11-12 7:00:00
GB75SXSU20505472918016,1187,2022-11-12 4:00:00
GB74QDGH08398888881419,1467,2022-11-8 17:00:00
GB30RRAM64656343041309,1289,2022-11-7 15:00:00
GB43SAUN92950707708407,1387,2022-11-8 4:00:00
GB55FNZS95779220333856,1612,2022-11-10 13:00:00
GB92JCQQ20500308362473,1295,2022-11-11 15:00:00
GB49KZLR85864205596859,1633,2022-11-13 19:00:00
GB08FQCZ83089980119131,1637,2022-11-12 12:00:00
GB80EQXF28095748427952,1594,2022-11-7 21:00:00
GB06KNNP32691382964731,1806,2022-11-9 11:00:00
GB88CTZY32748938767236,1495,2022-11-12 18:00:00
GB96GOYJ76628145034114,1637,2022-11-7 8:00:00
GB03UHAW27610941226405,1797,2022-11-11 9:00:00
GB18YLHQ67140341990617,1809,2022-11-11 19:00:00
GB61TEPH18581552677594,1899,2022-11-12 12:00:00
GB82YCFB49644793922490,1537,2022-11-10 14:00:00
